SeqId,NussinovFolderFolding Tns,
seq_10_0,63995,
seq_10_1,93018,
seq_10_2,78213,
seq_10_3,71079,
seq_10_4,46021,
seq_10_5,40460,
seq_10_6,37740,
seq_10_7,41517,
seq_10_8,44506,
seq_10_9,40157,
seq_10_10,40148,
seq_10_11,39231,
seq_10_12,42733,
seq_10_13,37544,
seq_10_14,42641,
seq_10_15,30637,
seq_10_16,45490,
seq_10_17,52110,
seq_10_18,34900,
seq_10_19,47679,
seq_10_20,42223,
seq_10_21,43196,
seq_10_22,36520,
seq_10_23,39891,
seq_10_24,34182,
seq_10_25,44990,
seq_10_26,73095,
seq_10_27,43224,
seq_10_28,43045,
seq_10_29,47058,
seq_10_30,30178,
seq_10_31,41723,
seq_10_32,44410,
seq_10_33,82981,
seq_10_34,47148,
seq_10_35,42334,
seq_10_36,42218,
seq_10_37,41988,
seq_10_38,45802,
seq_10_39,44908,
seq_10_40,42226,
seq_10_41,41851,
seq_10_42,46734,
seq_10_43,44559,
seq_10_44,41043,
seq_10_45,46261,
seq_10_46,46006,
seq_10_47,42761,
seq_10_48,42988,
seq_10_49,43130,
seq_10_50,71726,
seq_10_51,51162,
seq_10_52,44640,
seq_10_53,42891,
seq_10_54,43698,
seq_10_55,48229,
seq_10_56,45027,
seq_10_57,46224,
seq_10_58,44077,
seq_10_59,46726,
seq_10_60,45017,
seq_10_61,44221,
seq_10_62,27928,
seq_10_63,28681,
seq_10_64,28248,
seq_10_65,34342,
seq_10_66,36818,
seq_10_67,34846,
seq_10_68,37519,
seq_10_69,36267,
seq_10_70,36749,
seq_10_71,35430,
seq_10_72,37474,
seq_10_73,34279,
seq_10_74,35818,
seq_10_75,35049,
seq_10_76,38178,
seq_10_77,33513,
seq_10_78,36016,
seq_10_79,35750,
seq_10_80,37563,
seq_10_81,30421,
seq_10_82,29471,
seq_10_83,34752,
seq_10_84,36352,
seq_10_85,39372,
seq_10_86,30294,
seq_10_87,31932,
seq_10_88,31487,
seq_10_89,36556,
seq_10_90,32585,
seq_10_91,35964,
seq_10_92,26971,
seq_10_93,35686,
seq_10_94,33617,
seq_10_95,26316,
seq_10_96,26197,
seq_10_97,26662,
seq_10_98,31757,
seq_10_99,50607,
seq_20_0,200642,
seq_20_1,173424,
seq_20_2,218889,
seq_20_3,202284,
seq_20_4,201959,
seq_20_5,187153,
seq_20_6,192831,
seq_20_7,199991,
seq_20_8,204210,
seq_20_9,199438,
seq_20_10,85785,
seq_20_11,67830,
seq_20_12,81407,
seq_20_13,83191,
seq_20_14,82337,
seq_20_15,81937,
seq_20_16,85402,
seq_20_17,81546,
seq_20_18,83016,
seq_20_19,83271,
seq_20_20,86304,
seq_20_21,99891,
seq_20_22,93422,
seq_20_23,82609,
seq_20_24,80567,
seq_20_25,251231,
seq_20_26,87370,
seq_20_27,83251,
seq_20_28,83847,
seq_20_29,80885,
seq_20_30,83220,
seq_20_31,80759,
seq_20_32,120224,
seq_20_33,79967,
seq_20_34,80138,
seq_20_35,80908,
seq_20_36,88637,
seq_20_37,107238,
seq_20_38,93005,
seq_20_39,54812,
seq_20_40,56426,
seq_20_41,55607,
seq_20_42,62485,
seq_20_43,55921,
seq_20_44,56673,
seq_20_45,82798,
seq_20_46,86750,
seq_20_47,97021,
seq_20_48,86050,
seq_20_49,89782,
seq_20_50,109154,
seq_20_51,86084,
seq_20_52,113909,
seq_20_53,109945,
seq_20_54,91946,
seq_20_55,583641,
seq_20_56,80128,
seq_20_57,86992,
seq_20_58,92241,
seq_20_59,81647,
seq_20_60,97030,
seq_20_61,57268,
seq_20_62,55400,
seq_20_63,83687,
seq_20_64,59202,
seq_20_65,91034,
seq_20_66,66813,
seq_20_67,55619,
seq_20_68,84982,
seq_20_69,82200,
seq_20_70,87634,
seq_20_71,55827,
seq_20_72,56458,
seq_20_73,62120,
seq_20_74,54651,
seq_20_75,58989,
seq_20_76,57595,
seq_20_77,58044,
seq_20_78,60302,
seq_20_79,57793,
seq_20_80,58861,
seq_20_81,58613,
seq_20_82,58631,
seq_20_83,110823,
seq_20_84,93367,
seq_20_85,56511,
seq_20_86,56289,
seq_20_87,56682,
seq_20_88,56298,
seq_20_89,61696,
seq_20_90,55730,
seq_20_91,86820,
seq_20_92,85289,
seq_20_93,90936,
seq_20_94,86784,
seq_20_95,77707,
seq_20_96,84084,
seq_20_97,85030,
seq_20_98,83822,
seq_20_99,84445,
seq_30_0,193281,
seq_30_1,195786,
seq_30_2,195804,
seq_30_3,295054,
seq_30_4,220162,
seq_30_5,222360,
seq_30_6,212921,
seq_30_7,195799,
seq_30_8,173900,
seq_30_9,169511,
seq_30_10,169770,
seq_30_11,184439,
seq_30_12,169914,
seq_30_13,179728,
seq_30_14,170118,
seq_30_15,168712,
seq_30_16,187712,
seq_30_17,450048,
seq_30_18,184468,
seq_30_19,248935,
seq_30_20,170808,
seq_30_21,233882,
seq_30_22,294542,
seq_30_23,300609,
seq_30_24,231371,
seq_30_25,265931,
seq_30_26,171973,
seq_30_27,237185,
seq_30_28,284591,
seq_30_29,296005,
seq_30_30,200532,
seq_30_31,265557,
seq_30_32,215731,
seq_30_33,229186,
seq_30_34,167941,
seq_30_35,238933,
seq_30_36,168582,
seq_30_37,240452,
seq_30_38,168907,
seq_30_39,241809,
seq_30_40,170636,
seq_30_41,224508,
seq_30_42,215477,
seq_30_43,268957,
seq_30_44,199610,
seq_30_45,378875,
seq_30_46,168354,
seq_30_47,370667,
seq_30_48,265988,
seq_30_49,336647,
seq_30_50,269306,
seq_30_51,349334,
seq_30_52,278394,
seq_30_53,347637,
seq_30_54,268654,
seq_30_55,334704,
seq_30_56,264897,
seq_30_57,603544,
seq_30_58,246999,
seq_30_59,269443,
seq_30_60,218261,
seq_30_61,274659,
seq_30_62,204068,
seq_30_63,271375,
seq_30_64,199466,
seq_30_65,247065,
seq_30_66,201340,
seq_30_67,264755,
seq_30_68,197771,
seq_30_69,269915,
seq_30_70,197469,
seq_30_71,272414,
seq_30_72,211695,
seq_30_73,220194,
seq_30_74,172330,
seq_30_75,250978,
seq_30_76,210348,
seq_30_77,278364,
seq_30_78,218949,
seq_30_79,293765,
seq_30_80,205748,
seq_30_81,260706,
seq_30_82,174262,
seq_30_83,245975,
seq_30_84,169059,
seq_30_85,234664,
seq_30_86,170395,
seq_30_87,243437,
seq_30_88,186256,
seq_30_89,272248,
seq_30_90,260786,
seq_30_91,342285,
seq_30_92,203323,
seq_30_93,269741,
seq_30_94,198414,
seq_30_95,264570,
seq_30_96,202424,
seq_30_97,249104,
seq_30_98,205858,
seq_30_99,258158,
seq_40_0,536566,
seq_40_1,461861,
seq_40_2,443558,
seq_40_3,433071,
seq_40_4,457023,
seq_40_5,406919,
seq_40_6,401309,
seq_40_7,414009,
seq_40_8,398456,
seq_40_9,413411,
seq_40_10,420524,
seq_40_11,415320,
seq_40_12,412790,
seq_40_13,401170,
seq_40_14,409086,
seq_40_15,405390,
seq_40_16,406791,
seq_40_17,424121,
seq_40_18,406698,
seq_40_19,404162,
seq_40_20,469786,
seq_40_21,453751,
seq_40_22,422885,
seq_40_23,417155,
seq_40_24,415066,
seq_40_25,416930,
seq_40_26,422595,
seq_40_27,408597,
seq_40_28,435369,
seq_40_29,455360,
seq_40_30,622960,
seq_40_31,622049,
seq_40_32,624988,
seq_40_33,636441,
seq_40_34,618126,
seq_40_35,636928,
seq_40_36,624217,
seq_40_37,849118,
seq_40_38,417743,
seq_40_39,422798,
seq_40_40,416790,
seq_40_41,415765,
seq_40_42,413063,
seq_40_43,421097,
seq_40_44,573291,
seq_40_45,624651,
seq_40_46,579389,
seq_40_47,488263,
seq_40_48,456317,
seq_40_49,410415,
seq_40_50,476007,
seq_40_51,423099,
seq_40_52,411610,
seq_40_53,460780,
seq_40_54,419492,
seq_40_55,460631,
seq_40_56,444902,
seq_40_57,437993,
seq_40_58,447238,
seq_40_59,444580,
seq_40_60,449909,
seq_40_61,452062,
seq_40_62,443775,
seq_40_63,445666,
seq_40_64,417210,
seq_40_65,667106,
seq_40_66,95061,
seq_40_67,94403,
seq_40_68,88244,
seq_40_69,88607,
seq_40_70,92143,
seq_40_71,116984,
seq_40_72,118872,
seq_40_73,67336,
seq_40_74,94860,
seq_40_75,85958,
seq_40_76,85281,
seq_40_77,83786,
seq_40_78,84477,
seq_40_79,88630,
seq_40_80,84837,
seq_40_81,88358,
seq_40_82,87868,
seq_40_83,92313,
seq_40_84,91339,
seq_40_85,95471,
seq_40_86,96066,
seq_40_87,91393,
seq_40_88,96083,
seq_40_89,100691,
seq_40_90,68508,
seq_40_91,71698,
seq_40_92,77712,
seq_40_93,71542,
seq_40_94,75386,
seq_40_95,72945,
seq_40_96,71407,
seq_40_97,74390,
seq_40_98,72724,
seq_40_99,77969,
seq_50_0,123381,
seq_50_1,120560,
seq_50_2,128894,
seq_50_3,128633,
seq_50_4,116499,
seq_50_5,194006,
seq_50_6,124886,
seq_50_7,161994,
seq_50_8,155337,
seq_50_9,157338,
seq_50_10,146044,
seq_50_11,158068,
seq_50_12,169503,
seq_50_13,166169,
seq_50_14,159569,
seq_50_15,149064,
seq_50_16,159634,
seq_50_17,161261,
seq_50_18,166320,
seq_50_19,160559,
seq_50_20,173239,
seq_50_21,158713,
seq_50_22,149309,
seq_50_23,150191,
seq_50_24,151713,
seq_50_25,163187,
seq_50_26,148917,
seq_50_27,156584,
seq_50_28,161180,
seq_50_29,145493,
seq_50_30,150413,
seq_50_31,137144,
seq_50_32,116722,
seq_50_33,121390,
seq_50_34,132852,
seq_50_35,132209,
seq_50_36,137021,
seq_50_37,122328,
seq_50_38,138317,
seq_50_39,142533,
seq_50_40,134270,
seq_50_41,139228,
seq_50_42,152312,
seq_50_43,152380,
seq_50_44,129913,
seq_50_45,134689,
seq_50_46,135724,
seq_50_47,127619,
seq_50_48,127324,
seq_50_49,134146,
seq_50_50,139783,
seq_50_51,123621,
seq_50_52,127638,
seq_50_53,121904,
seq_50_54,134885,
seq_50_55,143517,
seq_50_56,131335,
seq_50_57,125204,
seq_50_58,136467,
seq_50_59,140422,
seq_50_60,138659,
seq_50_61,122870,
seq_50_62,133594,
seq_50_63,131721,
seq_50_64,124963,
seq_50_65,127903,
seq_50_66,132302,
seq_50_67,137383,
seq_50_68,139801,
seq_50_69,124476,
seq_50_70,124254,
seq_50_71,138243,
seq_50_72,131449,
seq_50_73,130492,
seq_50_74,136197,
seq_50_75,128922,
seq_50_76,134895,
seq_50_77,152887,
seq_50_78,144195,
seq_50_79,132661,
seq_50_80,179262,
seq_50_81,153036,
seq_50_82,169468,
seq_50_83,135559,
seq_50_84,128278,
seq_50_85,118588,
seq_50_86,135335,
seq_50_87,128950,
seq_50_88,133006,
seq_50_89,139163,
seq_50_90,127681,
seq_50_91,129789,
seq_50_92,139617,
seq_50_93,124000,
seq_50_94,136561,
seq_50_95,137650,
seq_50_96,129289,
seq_50_97,130212,
seq_50_98,133485,
seq_50_99,134040,
seq_60_0,190572,
seq_60_1,200730,
seq_60_2,207067,
seq_60_3,200084,
seq_60_4,198241,
seq_60_5,192950,
seq_60_6,183968,
seq_60_7,206572,
seq_60_8,193245,
seq_60_9,194108,
seq_60_10,199890,
seq_60_11,189918,
seq_60_12,198170,
seq_60_13,205834,
seq_60_14,189557,
seq_60_15,206443,
seq_60_16,214700,
seq_60_17,188795,
seq_60_18,191348,
seq_60_19,196463,
seq_60_20,199832,
seq_60_21,190508,
seq_60_22,196500,
seq_60_23,204287,
seq_60_24,202083,
seq_60_25,207536,
seq_60_26,209284,
seq_60_27,188980,
seq_60_28,197410,
seq_60_29,205015,
seq_60_30,192612,
seq_60_31,183970,
seq_60_32,265160,
seq_60_33,205517,
seq_60_34,211898,
seq_60_35,218661,
seq_60_36,207158,
seq_60_37,197317,
seq_60_38,195586,
seq_60_39,206444,
seq_60_40,190350,
seq_60_41,196611,
seq_60_42,186636,
seq_60_43,192414,
seq_60_44,205004,
seq_60_45,213154,
seq_60_46,207605,
seq_60_47,197692,
seq_60_48,204836,
seq_60_49,192046,
seq_60_50,248918,
seq_60_51,239999,
seq_60_52,249708,
seq_60_53,234052,
seq_60_54,238312,
seq_60_55,255051,
seq_60_56,244576,
seq_60_57,248094,
seq_60_58,250075,
seq_60_59,239072,
seq_60_60,244731,
seq_60_61,264244,
seq_60_62,235364,
seq_60_63,212013,
seq_60_64,190560,
seq_60_65,181482,
seq_60_66,204729,
seq_60_67,198034,
seq_60_68,188794,
seq_60_69,208005,
seq_60_70,198278,
seq_60_71,199073,
seq_60_72,191197,
seq_60_73,202009,
seq_60_74,208345,
seq_60_75,200754,
seq_60_76,201241,
seq_60_77,210152,
seq_60_78,201901,
seq_60_79,194754,
seq_60_80,204590,
seq_60_81,215802,
seq_60_82,196903,
seq_60_83,202998,
seq_60_84,216283,
seq_60_85,234395,
seq_60_86,202592,
seq_60_87,242359,
seq_60_88,210620,
seq_60_89,204719,
seq_60_90,211429,
seq_60_91,203881,
seq_60_92,200543,
seq_60_93,198334,
seq_60_94,199184,
seq_60_95,197802,
seq_60_96,201429,
seq_60_97,207729,
seq_60_98,205081,
seq_60_99,208198,
seq_70_0,297720,
seq_70_1,281267,
seq_70_2,281214,
seq_70_3,284381,
seq_70_4,276703,
seq_70_5,279682,
seq_70_6,291757,
seq_70_7,279898,
seq_70_8,290860,
seq_70_9,298877,
seq_70_10,283005,
seq_70_11,279652,
seq_70_12,311303,
seq_70_13,299469,
seq_70_14,280954,
seq_70_15,278200,
seq_70_16,295271,
seq_70_17,275204,
seq_70_18,299714,
seq_70_19,298614,
seq_70_20,291373,
seq_70_21,284800,
seq_70_22,293502,
seq_70_23,282419,
seq_70_24,306954,
seq_70_25,289198,
seq_70_26,297066,
seq_70_27,279664,
seq_70_28,308634,
seq_70_29,312627,
seq_70_30,293785,
seq_70_31,301004,
seq_70_32,298999,
seq_70_33,298267,
seq_70_34,295386,
seq_70_35,302267,
seq_70_36,286391,
seq_70_37,298647,
seq_70_38,300550,
seq_70_39,281102,
seq_70_40,281556,
seq_70_41,330315,
seq_70_42,356801,
seq_70_43,369353,
seq_70_44,347907,
seq_70_45,366292,
seq_70_46,287740,
seq_70_47,297924,
seq_70_48,291079,
seq_70_49,288448,
seq_70_50,321654,
seq_70_51,272525,
seq_70_52,372875,
seq_70_53,383446,
seq_70_54,378981,
seq_70_55,385848,
seq_70_56,381920,
seq_70_57,368319,
seq_70_58,396424,
seq_70_59,419995,
seq_70_60,390100,
seq_70_61,296152,
seq_70_62,278006,
seq_70_63,293593,
seq_70_64,352095,
seq_70_65,298254,
seq_70_66,292994,
seq_70_67,292916,
seq_70_68,306127,
seq_70_69,284801,
seq_70_70,293414,
seq_70_71,274962,
seq_70_72,259102,
seq_70_73,284398,
seq_70_74,293086,
seq_70_75,285943,
seq_70_76,276447,
seq_70_77,291193,
seq_70_78,272729,
seq_70_79,262223,
seq_70_80,284376,
seq_70_81,281940,
seq_70_82,273085,
seq_70_83,275216,
seq_70_84,289438,
seq_70_85,282003,
seq_70_86,280347,
seq_70_87,297880,
seq_70_88,393533,
seq_70_89,310140,
seq_70_90,294570,
seq_70_91,281390,
seq_70_92,268594,
seq_70_93,272210,
seq_70_94,278595,
seq_70_95,282051,
seq_70_96,286467,
seq_70_97,297956,
seq_70_98,282814,
seq_70_99,276219,
seq_80_0,443153,
seq_80_1,385839,
seq_80_2,404861,
seq_80_3,381489,
seq_80_4,396192,
seq_80_5,386756,
seq_80_6,394959,
seq_80_7,390227,
seq_80_8,396480,
seq_80_9,449765,
seq_80_10,426070,
seq_80_11,417668,
seq_80_12,418099,
seq_80_13,408410,
seq_80_14,417714,
seq_80_15,409387,
seq_80_16,394292,
seq_80_17,409889,
seq_80_18,410882,
seq_80_19,415025,
seq_80_20,419218,
seq_80_21,414479,
seq_80_22,391651,
seq_80_23,408004,
seq_80_24,411638,
seq_80_25,398057,
seq_80_26,416991,
seq_80_27,409151,
seq_80_28,412004,
seq_80_29,429480,
seq_80_30,399807,
seq_80_31,423521,
seq_80_32,412243,
seq_80_33,416812,
seq_80_34,562027,
seq_80_35,558944,
seq_80_36,583304,
seq_80_37,578170,
seq_80_38,583720,
seq_80_39,578773,
seq_80_40,544109,
seq_80_41,537709,
seq_80_42,521553,
seq_80_43,410546,
seq_80_44,407323,
seq_80_45,394836,
seq_80_46,420062,
seq_80_47,423312,
seq_80_48,411245,
seq_80_49,416803,
seq_80_50,420314,
seq_80_51,413750,
seq_80_52,403554,
seq_80_53,408701,
seq_80_54,418477,
seq_80_55,401070,
seq_80_56,380301,
seq_80_57,392368,
seq_80_58,409868,
seq_80_59,399094,
seq_80_60,388082,
seq_80_61,395596,
seq_80_62,488815,
seq_80_63,590378,
seq_80_64,423447,
seq_80_65,403156,
seq_80_66,408217,
seq_80_67,414321,
seq_80_68,415016,
seq_80_69,426595,
seq_80_70,420560,
seq_80_71,424428,
seq_80_72,394858,
seq_80_73,408328,
seq_80_74,409162,
seq_80_75,405204,
seq_80_76,420743,
seq_80_77,419623,
seq_80_78,418584,
seq_80_79,415924,
seq_80_80,422995,
seq_80_81,420784,
seq_80_82,410551,
seq_80_83,433837,
seq_80_84,407078,
seq_80_85,416491,
seq_80_86,393293,
seq_80_87,427488,
seq_80_88,409569,
seq_80_89,408006,
seq_80_90,426845,
seq_80_91,402075,
seq_80_92,423472,
seq_80_93,403011,
seq_80_94,402572,
seq_80_95,423438,
seq_80_96,408460,
seq_80_97,412832,
seq_80_98,400442,
seq_80_99,402056,
seq_90_0,541316,
seq_90_1,560061,
seq_90_2,549979,
seq_90_3,543230,
seq_90_4,777420,
seq_90_5,747908,
seq_90_6,786425,
seq_90_7,773025,
seq_90_8,775460,
seq_90_9,819518,
seq_90_10,549280,
seq_90_11,545787,
seq_90_12,558076,
seq_90_13,571079,
seq_90_14,607881,
seq_90_15,781040,
seq_90_16,669067,
seq_90_17,575777,
seq_90_18,514238,
seq_90_19,525318,
seq_90_20,528484,
seq_90_21,537383,
seq_90_22,510398,
seq_90_23,558867,
seq_90_24,523008,
seq_90_25,536724,
seq_90_26,517262,
seq_90_27,535618,
seq_90_28,561487,
seq_90_29,535504,
seq_90_30,544777,
seq_90_31,499539,
seq_90_32,529174,
seq_90_33,534556,
seq_90_34,563299,
seq_90_35,545748,
seq_90_36,545682,
seq_90_37,573709,
seq_90_38,563058,
seq_90_39,561529,
seq_90_40,576652,
seq_90_41,572191,
seq_90_42,553801,
seq_90_43,567734,
seq_90_44,564173,
seq_90_45,539767,
seq_90_46,511916,
seq_90_47,561892,
seq_90_48,536503,
seq_90_49,503726,
seq_90_50,546188,
seq_90_51,540444,
seq_90_52,561651,
seq_90_53,550920,
seq_90_54,524309,
seq_90_55,544115,
seq_90_56,534845,
seq_90_57,539230,
seq_90_58,526857,
seq_90_59,754926,
seq_90_60,784197,
seq_90_61,803973,
seq_90_62,758313,
seq_90_63,761242,
seq_90_64,1310150,
seq_90_65,539364,
seq_90_66,567194,
seq_90_67,561555,
seq_90_68,535880,
seq_90_69,557867,
seq_90_70,522585,
seq_90_71,530980,
seq_90_72,534543,
seq_90_73,554819,
seq_90_74,530496,
seq_90_75,545151,
seq_90_76,538943,
seq_90_77,519296,
seq_90_78,549255,
seq_90_79,647747,
seq_90_80,599722,
seq_90_81,540076,
seq_90_82,522402,
seq_90_83,533646,
seq_90_84,560346,
seq_90_85,508560,
seq_90_86,540921,
seq_90_87,520485,
seq_90_88,526169,
seq_90_89,546592,
seq_90_90,562523,
seq_90_91,547720,
seq_90_92,556117,
seq_90_93,575369,
seq_90_94,527048,
seq_90_95,563354,
seq_90_96,606740,
seq_90_97,526286,
seq_90_98,547366,
seq_90_99,555136,
seq_100_0,737751,
seq_100_1,696171,
seq_100_2,768750,
seq_100_3,700925,
seq_100_4,724823,
seq_100_5,751469,
seq_100_6,708402,
seq_100_7,784296,
seq_100_8,747254,
seq_100_9,968607,
seq_100_10,988575,
seq_100_11,1040919,
seq_100_12,747333,
seq_100_13,717744,
seq_100_14,708175,
seq_100_15,721070,
seq_100_16,730765,
seq_100_17,720705,
seq_100_18,706700,
seq_100_19,759173,
seq_100_20,713558,
seq_100_21,694164,
seq_100_22,742355,
seq_100_23,920380,
seq_100_24,712419,
seq_100_25,726787,
seq_100_26,715796,
seq_100_27,719935,
seq_100_28,685171,
seq_100_29,726475,
seq_100_30,679965,
seq_100_31,718582,
seq_100_32,701570,
seq_100_33,720131,
seq_100_34,711898,
seq_100_35,711380,
seq_100_36,727090,
seq_100_37,749165,
seq_100_38,720764,
seq_100_39,725666,
seq_100_40,791633,
seq_100_41,726435,
seq_100_42,718301,
seq_100_43,712657,
seq_100_44,710531,
seq_100_45,692396,
seq_100_46,734220,
seq_100_47,713433,
seq_100_48,721000,
seq_100_49,724823,
seq_100_50,664345,
seq_100_51,750156,
seq_100_52,816796,
seq_100_53,741946,
seq_100_54,997385,
seq_100_55,980686,
seq_100_56,903193,
seq_100_57,710042,
seq_100_58,724860,
seq_100_59,722695,
seq_100_60,822839,
seq_100_61,786504,
seq_100_62,705736,
seq_100_63,766419,
seq_100_64,726574,
seq_100_65,726087,
seq_100_66,721933,
seq_100_67,713102,
seq_100_68,734677,
seq_100_69,1002564,
seq_100_70,804429,
seq_100_71,656102,
seq_100_72,735882,
seq_100_73,726971,
seq_100_74,748809,
seq_100_75,717320,
seq_100_76,739750,
seq_100_77,728461,
seq_100_78,749056,
seq_100_79,762875,
seq_100_80,760120,
seq_100_81,780299,
seq_100_82,733462,
seq_100_83,697989,
seq_100_84,697984,
seq_100_85,718153,
seq_100_86,705531,
seq_100_87,722688,
seq_100_88,698520,
seq_100_89,757907,
seq_100_90,737896,
seq_100_91,749809,
seq_100_92,830465,
seq_100_93,825088,
seq_100_94,712856,
seq_100_95,774594,
seq_100_96,753824,
seq_100_97,982668,
seq_100_98,989262,
seq_100_99,966053,
seq_110_0,921056,
seq_110_1,929207,
seq_110_2,944545,
seq_110_3,886332,
seq_110_4,989130,
seq_110_5,901837,
seq_110_6,1027027,
seq_110_7,941049,
seq_110_8,921332,
seq_110_9,947106,
seq_110_10,985743,
seq_110_11,890031,
seq_110_12,887666,
seq_110_13,959074,
seq_110_14,1114009,
seq_110_15,914284,
seq_110_16,947452,
seq_110_17,973896,
seq_110_18,915248,
seq_110_19,914631,
seq_110_20,948692,
seq_110_21,961244,
seq_110_22,887922,
seq_110_23,950452,
seq_110_24,923800,
seq_110_25,909797,
seq_110_26,936315,
seq_110_27,991678,
seq_110_28,961888,
seq_110_29,930880,
seq_110_30,973605,
seq_110_31,1283286,
seq_110_32,1239926,
seq_110_33,1353632,
seq_110_34,1335399,
seq_110_35,1689213,
seq_110_36,983665,
seq_110_37,930214,
seq_110_38,974752,
seq_110_39,920119,
seq_110_40,960285,
seq_110_41,1211251,
seq_110_42,1001735,
seq_110_43,922562,
seq_110_44,981724,
seq_110_45,911260,
seq_110_46,973755,
seq_110_47,959027,
seq_110_48,991504,
seq_110_49,952009,
seq_110_50,958119,
seq_110_51,953081,
seq_110_52,897018,
seq_110_53,940952,
seq_110_54,948225,
seq_110_55,944558,
seq_110_56,950307,
seq_110_57,935664,
seq_110_58,956331,
seq_110_59,899311,
seq_110_60,920346,
seq_110_61,951072,
seq_110_62,947811,
seq_110_63,926333,
seq_110_64,963246,
seq_110_65,1031998,
seq_110_66,921763,
seq_110_67,1364223,
seq_110_68,1367540,
seq_110_69,1410962,
seq_110_70,1016452,
seq_110_71,950693,
seq_110_72,952668,
seq_110_73,917286,
seq_110_74,922380,
seq_110_75,1028510,
seq_110_76,970533,
seq_110_77,902840,
seq_110_78,914910,
seq_110_79,1059980,
seq_110_80,918123,
seq_110_81,903380,
seq_110_82,967108,
seq_110_83,978756,
seq_110_84,957736,
seq_110_85,953590,
seq_110_86,1225969,
seq_110_87,891965,
seq_110_88,941337,
seq_110_89,966251,
seq_110_90,943195,
seq_110_91,928852,
seq_110_92,953001,
seq_110_93,916452,
seq_110_94,900227,
seq_110_95,942232,
seq_110_96,937298,
seq_110_97,905217,
seq_110_98,919063,
seq_110_99,923180,
